"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Windows 10 Dynamic Update","552","2022-04 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5012799)","2022/04/25 21:00:06","KB5012799-WindowsServer2022-RTM-SetupDU-X64-TSL-World","Dynamic Update for Windows 10 Version 1607 for AMD64-based Systems (KB3176937)","2016/08/23 17:00:00","KB3176937-Windows10Rs1Client-RTM-CriticalDU-X64-TSL","e4b04398-adbd-4b69-93b9-477322331cd3","Windows"
"Windows 10 Fall Creators Update and Later Servicing Drivers","0",,,,,,,"876ad18f-f41d-442a-ac64-f5c5ce74cc83","Windows"
"Windows 10 Fall Creators Update and Later Upgrade & Servicing Drivers","0",,,,,,,"c70f1038-66ac-443d-9e58-ac22e891e4fb","Windows"
"Windows 10 Feature On Demand","1090","FeatureOnDemand MopriaCloudService - Windows Server 2016 for AMD64-based Systems - (KB3193497)","2017/07/07 1:45:36","KB3193497-Windows10Rs1Server-RTM-FeatureOnDemandMopriaCloudService-X64-TSL-World","Lang Pack (Language Features) Feature On Demand for X86 [rm-CH]","2015/11/17 18:00:00","KB3109599-Win10FeatureOnDemandLang-RTM-X86-TSL-RMC","e104dd76-2895-41c4-9eb5-c483a61e9427","Windows"
"Windows 10 GDR-DU FOD","412","GDR-DU: LanguageFeatureOnDemand - Windows 10 April 2018 Update for x64-based Systems - (KB4132443) [uz-Latn-UZ]","2018/04/30 13:00:00","KB4132443-Win10-TH1-GDR-DU-RTM-LanguageFeatureOnDemand-X64-TSL-World-UZB","GDR-DU: LanguageFeatureOnDemand - Windows 10 Version 1709 for x86-based Systems - (KB4046355) [hy-AM]","2017/10/02 16:30:00","KB4046355-Win10-TH1-GDR-DU-RTM-LanguageFeatureOnDemand-X86-TSL-World-HYE","3efabf46-3037-4c85-a752-3189e574b621","Windows"
"Windows 10 GDR-DU LP","1050","GDR-DU: Maori LanguageInterfacePack - Windows 10 April 2018 Update for ARM64-based Systems - (KB4132443) [mi-NZ_LIP]","2018/04/30 13:00:00","KB4132443-Win10-TH1-GDR-DU-RTM-LanguageInterfacePack-ARM64-TSL-World-MRI","GDR-DU: Polish LanguagePack - Windows 10 Insider Preview 14390 for AMD64-based Systems - (KB3179271) [pl-PL_LP]","2016/07/14 0:48:09","KB3179271-Win10-TH1-GDR-DU-RTM-LanguagePack-X64-TSL-rs1_release-PLK","6111a83d-7a6b-4a2c-a7c2-f222eebcabf4","Windows"
"Windows 10 GDR-DU","895","2022-04 Dynamic Cumulative Update for Windows 10 Version 21H1 for ARM64-based Systems (KB5012599)","2022/04/12 17:00:08","KB5012599-Windows1021h1Client-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","GDR-DU: LanguageFeatureOnDemand - Windows 10 Insider Preview 14390 for AMD64-based Systems - (KB3179271) [uz-Latn-UZ]","2016/07/14 0:48:09","KB3179271-Win10-TH1-GDR-DU-RTM-LanguageFeatureOnDemand-X64-TSL-rs1_release-UZB","abc45868-0c9c-4bc0-a36d-03d54113baf4","Windows"
"Windows 10 Language Interface Packs","804","Amharic LanguageInterfacePack - Windows 10 Version 1709 for x64-based Systems - (KB4046355) [am-ET_LIP]","2017/10/02 16:30:00","KB4046355-Win10-TH1-RTM-LanguageInterfacePack-X64-TSL-World-AMH","セルビア語 (キリル、ボスニア・ヘルツェゴビナ) インターフェイス パック - Windows 10 - (KB3079343) [sr-Cyrl-BA_LIP]","2015/07/15 17:00:00","KB3079343-Win10ClientLIP-RTM-X86-TSL-SRB","7d247b99-caa2-45e4-9c8f-6d60d0aae35c","Windows"
"Windows 10 Language Packs","470","Hebrew LanguagePack - Windows 10 Version 1709 for x64-based Systems - (KB4046355) [he-IL_LP]","2017/10/02 16:30:00","KB4046355-Win10-TH1-RTM-LanguagePack-X64-TSL-World-HEB","タイ語言語パック - Windows 10 - (KB3079343) [th-TH_LP]","2015/07/15 17:00:00","KB3079343-Win10ClientLangPack-RTM-X86-TSL-THA","fc7c9913-7a1e-4b30-b602-3c62fffd9b1a","Windows"
"Windows 10 LTSB","469","悪意のあるソフトウェアの削除ツール x64 - v5.100 (KB890830)","2022/04/12 21:00:00","890830_X64_WIN8TP_MRT_v5.100","Windows 10 用更新プログラム (KB3141032)","2016/03/08 18:00:00","KB3141032-Win10-RTM-X86-TSL","d2085b71-5f1f-43a9-880d-ed159016d5c6","Windows"
